Id,Category
0,8
1,5
2,8
3,1
4,0
5,3
6,2
7,0
8,1
9,8
10,5
11,1
12,6
13,5
14,7
15,4
16,5
17,2
18,1
19,8
20,6
21,2
22,3
23,5
24,3
25,6
26,2
27,0
28,8
29,2
30,0
31,3
32,2
33,5
34,2
35,5
36,4
37,4
38,8
39,7
40,0
41,5
42,9
43,1
44,8
45,4
46,9
47,8
48,2
49,4
50,5
51,3
52,5
53,8
54,1
55,3
56,3
57,1
58,6
59,0
60,9
61,0
62,4
63,6
64,5
65,5
66,1
67,7
68,1
69,8
70,1
71,8
72,0
73,2
74,1
75,5
76,7
77,5
78,6
79,6
80,2
81,4
82,7
83,9
84,4
85,1
86,2
87,7
88,6
89,1
90,7
91,5
92,1
93,9
94,5
95,3
96,5
97,2
98,1
99,6
100,6
101,0
102,6
103,3
104,6
105,5
106,5
107,2
108,1
109,4
110,5
111,2
112,9
113,9
114,8
115,3
116,1
117,1
118,7
119,4
120,3
121,8
122,0
123,1
124,6
125,7
126,9
127,2
128,3
129,2
130,9
131,6
132,0
133,5
134,0
135,1
136,2
137,9
138,6
139,9
140,5
141,2
142,8
143,7
144,5
145,9
146,8
147,8
148,7
149,8
150,6
151,1
152,3
153,7
154,8
155,2
156,6
157,0
158,9
159,6
160,5
161,4
162,0
163,2
164,0
165,9
166,0
167,7
168,5
169,1
170,9
171,3
172,1
173,4
174,6
175,3
176,5
177,8
178,7
179,5
180,2
181,1
182,8
183,0
184,5
185,1
186,7
187,5
188,9
189,0
190,6
191,0
192,8
193,1
194,7
195,6
196,1
197,2
198,3
199,4
200,1
201,8
202,7
203,7
204,7
205,3
206,1
207,3
208,4
209,3
210,7
211,3
212,3
213,8
214,3
215,1
216,3
217,0
218,2
219,9
220,5
221,9
222,5
223,7
224,6
225,2
226,8
227,1
228,5
229,0
230,5
231,0
232,2
233,9
234,9
235,3
236,0
237,2
238,2
239,9
240,5
241,9
242,5
243,9
244,5
245,8
246,1
247,0
248,7
249,5
250,5
251,2
252,3
253,1
254,4
255,6
256,8
257,1
258,6
259,0
260,3
261,6
262,9
263,2
264,1
265,6
266,3
267,0
268,1
269,6
270,8
271,7
272,4
273,2
274,1
275,6
276,1
277,1
278,5
279,1
280,9
281,2
282,6
283,1
284,2
285,9
286,7
287,7
288,0
289,5
290,5
291,0
292,5
293,6
294,2
295,6
296,6
297,9
298,9
299,7
300,8
301,1
302,1
303,1
304,0
305,3
306,7
307,8
308,2
309,7
310,2
311,2
312,1
313,2
314,7
315,8
316,4
317,0
318,5
319,8
320,1
321,8
322,5
323,3
324,6
325,7
326,1
327,9
328,1
329,6
330,1
331,4
332,1
333,1
334,3
335,2
336,0
337,6
338,2
339,1
340,5
341,3
342,9
343,7
344,1
345,9
346,9
347,9
348,1
349,7
350,3
351,2
352,0
353,7
354,0
355,7
356,6
357,6
358,7
359,8
360,1
361,3
362,0
363,5
364,9
365,4
366,3
367,4
368,0
369,5
370,1
371,5
372,9
373,2
374,5
375,3
376,8
377,3
378,2
379,0
380,4
381,9
382,3
383,3
384,4
385,4
386,7
387,0
388,2
389,2
390,1
391,1
392,1
393,5
394,3
395,5
396,9
397,5
398,6
399,3
400,1
401,0
402,2
403,3
404,2
405,6
406,0
407,5
408,1
409,1
410,2
411,9
412,0
413,8
414,3
415,2
416,1
417,2
418,3
419,4
420,6
421,0
422,6
423,3
424,1
425,2
426,6
427,6
428,5
429,6
430,9
431,7
432,0
433,7
434,1
435,5
436,6
437,4
438,2
439,7
440,3
441,7
442,0
443,7
444,2
445,5
446,2
447,1
448,6
449,3
450,4
451,6
452,9
453,4
454,6
455,0
456,2
457,9
458,2
459,8
460,7
461,0
462,0
463,5
464,3
465,8
466,2
467,8
468,1
469,3
470,5
471,1
472,8
473,3
474,8
475,8
476,9
477,6
478,5
479,3
480,3
481,6
482,6
483,0
484,6
485,8
486,9
487,2
488,5
489,1
490,9
491,1
492,0
493,5
494,8
495,6
496,3
497,2
498,5
499,3
500,6
501,5
502,3
503,0
504,3
505,3
506,6
507,3
508,6
509,7
510,5
511,0
512,2
513,5
514,5
515,0
516,0
517,2
518,8
519,3
520,7
521,5
522,1
523,7
524,4
525,5
526,8
527,1
528,1
529,2
530,8
531,5
532,3
533,0
534,0
535,2
536,9
537,6
538,4
539,9
540,5
541,2
542,3
543,6
544,2
545,5
546,3
547,3
548,2
549,4
550,1
551,5
552,3
553,0
554,2
555,9
556,1
557,5
558,3
559,2
560,0
561,5
562,6
563,6
564,0
565,3
566,4
567,3
568,8
569,9
570,2
571,5
572,0
573,6
574,2
575,0
576,8
577,6
578,6
579,3
580,8
581,1
582,9
583,5
584,1
585,0
586,1
587,2
588,3
589,3
590,8
591,8
592,2
593,1
594,1
595,6
596,6
597,3
598,5
599,3
600,5
601,6
602,8
603,2
604,6
605,2
606,2
607,0
608,1
609,3
610,1
611,2
612,6
613,8
614,2
615,7
616,5
617,8
618,3
619,2
620,1
621,7
622,6
623,5
624,9
625,3
626,2
627,8
628,9
629,3
630,5
631,0
632,5
633,3
634,1
635,3
636,0
637,9
638,6
639,2
640,5
641,1
642,2
643,5
644,3
645,5
646,9
647,6
648,1
649,1
650,0
651,8
652,9
653,2
654,8
655,9
656,7
657,6
658,5
659,1
660,3
661,5
662,2
663,3
664,6
665,8
666,2
667,6
668,5
669,2
670,5
671,0
672,7
673,2
674,1
675,6
676,2
677,9
678,3
679,2
680,2
681,6
682,6
683,1
684,0
685,0
686,0
687,9
688,4
689,7
690,3
691,8
692,8
693,5
694,5
